"日期","收市","開市","高","低","成交量","更改%"
"2020年1月8日","324.45","322.94","325.78","322.67","68.43M","0.53%"
"2020年1月7日","322.73","323.02","323.54","322.24","42.85M","-0.28%"
"2020年1月6日","323.64","320.49","323.73","320.36","55.76M","0.38%"
"2020年1月3日","322.41","321.16","323.64","321.10","77.78M","-0.76%"
"2020年1月2日","324.87","323.54","324.89","322.53","59.25M","0.94%"
"2019年12月31日","321.86","320.53","322.13","320.15","57.11M","0.24%"
"2019年12月30日","321.08","322.95","323.10","320.55","49.78M","-0.55%"
"2019年12月27日","322.86","323.74","323.80","322.28","42.55M","-0.02%"
"2019年12月26日","322.94","321.65","322.95","321.64","31.02M","0.53%"
"2019年12月24日","321.23","321.47","321.52","320.90","20.27M","0.00%"
"2019年12月23日","321.22","321.59","321.65","321.06","53.02M","0.15%"
"2019年12月20日","320.73","320.46","321.97","319.39","149.34M","-0.05%"
"2019年12月19日","320.90","319.80","320.98","319.52","85.39M","0.41%"
"2019年12月18日","319.59","320.00","320.25","319.53","48.20M","0.01%"
"2019年12月17日","319.57","319.92","320.25","319.48","61.13M","0.02%"
"2019年12月16日","319.50","319.22","320.15","317.25","82.84M","0.69%"
"2019年12月13日","317.32","316.87","318.67","316.02","81.55M","0.06%"
"2019年12月12日","317.13","314.43","317.99","314.17","96.59M","0.86%"
"2019年12月11日","314.42","314.03","314.70","313.44","53.52M","0.28%"
"2019年12月10日","313.53","313.82","314.55","312.81","53.11M","-0.11%"
"2019年12月9日","313.88","314.44","315.18","313.80","34.90M","-0.31%"
"2019年12月6日","314.87","314.12","315.31","314.11","48.96M","0.91%"
"2019年12月5日","312.02","312.23","312.25","310.58","40.78M","0.18%"
"2019年12月4日","311.46","310.70","312.12","310.32","49.19M","0.62%"
"2019年12月3日","309.55","308.65","309.64","307.13","75.17M","-0.67%"
"2019年12月2日","311.64","314.59","314.66","311.17","76.11M","-0.85%"
"2019年11月29日","314.31","314.86","315.13","314.06","36.59M","-0.37%"
"2019年11月27日","315.48","314.61","315.48","314.37","44.79M","0.45%"
"2019年11月26日","314.08","313.41","314.28","313.06","37.73M","0.23%"
"2019年11月25日","313.37","311.98","313.37","311.98","48.76M","0.78%"
"2019年11月22日","310.96","311.09","311.24","309.85","44.85M","0.22%"
"2019年11月21日","310.27","310.89","311.01","309.39","54.66M","-0.16%"
"2019年11月20日","310.77","311.28","311.85","309.06","79.70M","-0.37%"
"2019年11月19日","311.93","312.68","312.69","311.22","67.93M","-0.03%"
"2019年11月18日","312.02","311.53","312.28","311.03","49.33M","0.07%"
"2019年11月15日","311.79","311.02","311.84","310.26","62.71M","0.72%"
"2019年11月14日","309.55","308.79","309.64","308.09","52.00M","0.15%"
"2019年11月13日","309.10","307.91","309.54","307.66","54.46M","0.03%"
"2019年11月12日","309.00","308.75","309.99","308.15","46.48M","0.21%"
"2019年11月11日","308.35","307.42","308.54","307.27","35.93M","-0.19%"
"2019年11月8日","308.94","307.80","309.00","307.03","49.07M","0.25%"
"2019年11月7日","308.18","308.57","309.65","307.66","54.27M","0.35%"
"2019年11月6日","307.10","307.03","307.40","306.06","46.49M","0.02%"
"2019年11月5日","307.03","307.59","307.92","306.71","42.93M","-0.11%"
"2019年11月4日","307.37","307.85","308.00","306.96","60.61M","0.40%"
"2019年11月1日","306.14","304.92","306.19","304.74","71.14M","0.93%"
"2019年10月31日","303.33","304.13","304.13","301.73","69.05M","-0.27%"
"2019年10月30日","304.14","303.43","304.55","301.99","49.64M","0.31%"
"2019年10月29日","303.21","303.00","304.23","302.86","44.28M","-0.03%"
"2019年10月28日","303.30","302.94","303.85","302.91","42.15M","0.56%"
"2019年10月25日","301.60","299.74","302.20","299.68","45.21M","0.41%"
"2019年10月24日","300.37","300.91","301.07","299.46","35.86M","0.16%"
"2019年10月23日","299.88","298.73","299.94","298.50","34.99M","0.29%"
"2019年10月22日","299.01","300.58","300.90","298.91","49.13M","-0.33%"
"2019年10月21日","299.99","299.42","300.21","298.94","39.46M","0.68%"
"2019年10月18日","297.97","298.69","299.39","296.99","64.34M","-0.44%"
"2019年10月17日","299.28","299.68","300.24","298.51","46.78M","0.29%"
"2019年10月16日","298.40","298.37","299.16","297.92","50.56M","-0.16%"
"2019年10月15日","298.88","297.10","299.70","296.97","47.83M","0.99%"
"2019年10月14日","295.95","295.93","296.67","295.57","40.55M","-0.11%"
"2019年10月11日","296.28","296.27","298.74","296.14","101.23M","1.04%"
"2019年10月10日","293.24","291.18","294.21","291.00","57.26M","0.68%"
"2019年10月9日","291.27","290.75","292.30","288.66","65.71M","0.95%"
"2019年10月8日","288.53","291.04","291.85","288.49","101.58M","-1.55%"
"2019年10月7日","293.08","293.47","295.26","292.77","60.66M","-0.43%"
"2019年10月4日","294.35","291.14","294.63","290.82","66.70M","1.35%"
"2019年10月3日","290.42","287.81","290.45","284.82","85.91M","0.82%"
"2019年10月2日","288.06","291.50","291.51","286.64","124.52M","-1.77%"
"2019年10月1日","293.24","297.74","298.45","293.00","89.90M","-1.19%"
"2019年9月30日","296.77","295.97","297.55","295.92","52.56M","0.46%"
"2019年9月27日","295.40","297.83","297.95","293.69","84.78M","-0.54%"
"2019年9月26日","297.00","297.63","297.86","295.45","58.72M","-0.21%"
"2019年9月25日","297.62","295.96","298.11","294.33","73.43M","0.59%"
"2019年9月24日","295.87","299.41","299.84","294.81","97.37M","-0.78%"
"2019年9月23日","298.21","297.55","299.00","297.27","47.54M","-0.02%"
"2019年9月20日","298.28","300.36","300.67","297.41","97.46M","-0.93%"
"2019年9月19日","301.08","301.53","302.63","300.71","78.10M","-0.01%"
"2019年9月18日","301.10","300.49","301.22","298.24","74.19M","0.06%"
"2019年9月17日","300.92","299.94","301.02","299.75","42.90M","0.25%"
"2019年9月16日","300.16","299.84","301.14","299.45","58.19M","-0.31%"
"2019年9月13日","301.09","301.78","302.17","300.68","62.10M","-0.07%"
"2019年9月12日","301.29","301.25","302.46","300.41","72.91M","0.35%"
"2019年9月11日","300.25","298.47","300.34","297.75","68.82M","0.71%"
"2019年9月10日","298.13","297.36","298.20","295.97","57.95M","-0.02%"
"2019年9月9日","298.20","299.14","299.24","297.16","51.26M","0.05%"
"2019年9月6日","298.05","298.17","298.76","297.42","49.58M","0.08%"
"2019年9月5日","297.82","296.79","298.83","294.00","83.36M","1.29%"
"2019年9月4日","294.04","293.14","294.06","292.31","47.00M","1.14%"
"2019年9月3日","290.74","290.57","291.58","289.27","69.23M","-0.58%"
"2019年8月30日","292.45","294.22","294.24","291.42","62.96M","-0.04%"
"2019年8月29日","292.58","291.72","293.16","290.61","58.00M","1.28%"
"2019年8月28日","288.89","286.14","289.07","285.25","59.85M","0.70%"
"2019年8月27日","286.87","289.54","289.95","286.03","68.26M","-0.39%"
"2019年8月26日","288.00","287.27","288.00","285.58","72.62M","1.11%"
"2019年8月23日","284.85","290.92","292.76","283.47","149.32M","-2.57%"
"2019年8月22日","292.36","293.23","293.93","290.40","51.74M","-0.03%"
"2019年8月21日","292.45","292.48","292.86","291.72","49.72M","0.81%"
"2019年8月20日","290.09","291.77","292.36","289.95","51.65M","-0.77%"
"2019年8月19日","292.33","292.19","293.08","291.44","53.64M","1.20%"
"2019年8月16日","288.85","286.48","289.33","284.71","85.83M","1.48%"
"2019年8月15日","284.65","284.88","285.64","282.39","101.93M","0.26%"
"2019年8月14日","283.90","288.07","292.46","283.76","135.62M","-2.96%"
"2019年8月13日","292.55","287.74","294.15","287.36","94.79M","1.56%"
"2019年8月12日","288.07","289.96","291.61","287.02","65.53M","-1.22%"
"2019年8月9日","291.62","292.58","293.24","289.65","93.73M","-0.68%"
"2019年8月8日","293.62","289.62","293.62","289.01","87.71M","1.96%"
"2019年8月7日","287.97","284.40","288.82","282.04","140.57M","0.06%"
"2019年8月6日","287.80","285.91","288.04","284.28","120.71M","1.40%"
"2019年8月5日","283.82","288.09","288.21","281.72","178.75M","-3.01%"
"2019年8月2日","292.62","293.85","294.12","290.90","116.75M","-0.75%"
"2019年8月1日","294.84","297.60","300.87","293.96","142.65M","-0.87%"
"2019年7月31日","297.43","300.99","301.20","295.20","104.25M","-1.09%"
"2019年7月30日","300.72","299.91","301.17","299.49","45.85M","-0.25%"
"2019年7月29日","301.46","301.88","301.93","300.85","38.13M","-0.18%"
"2019年7月26日","302.01","300.76","302.23","300.62","45.08M","0.67%"
"2019年7月25日","300.00","300.94","301.00","299.11","55.39M","-0.48%"
"2019年7月24日","301.44","299.19","301.44","299.09","47.21M","0.47%"
"2019年7月23日","300.03","299.14","300.03","298.22","44.66M","0.72%"
"2019年7月22日","297.90","297.61","298.50","297.04","43.69M","0.25%"
"2019年7月19日","297.17","300.04","300.07","296.96","71.08M","-0.56%"
"2019年7月18日","298.83","297.19","299.25","296.70","51.70M","0.37%"
"2019年7月17日","297.74","299.75","299.93","297.74","44.10M","-0.66%"
"2019年7月16日","299.71","300.65","300.88","299.44","40.57M","-0.35%"
"2019年7月15日","300.75","301.13","301.13","300.19","33.91M","0.03%"
"2019年7月12日","300.65","299.85","300.73","299.51","40.35M","0.45%"
"2019年7月11日","299.31","299.32","299.58","298.20","50.89M","0.23%"
"2019年7月10日","298.61","298.37","299.66","297.78","58.60M","0.48%"
"2019年7月9日","297.19","295.54","297.52","295.48","41.10M","0.12%"
"2019年7月8日","296.82","297.01","298.26","296.22","45.84M","-0.55%"
"2019年7月5日","298.46","297.44","298.64","296.01","51.68M","-0.11%"
"2019年7月3日","298.80","297.18","298.82","297.02","40.90M","0.80%"
"2019年7月2日","296.43","295.61","296.49","294.68","61.50M","0.26%"
"2019年7月1日","295.66","296.68","296.92","294.33","79.11M","0.91%"
"2019年6月28日","293.00","292.58","293.55","292.01","59.35M","0.51%"
"2019年6月27日","291.50","291.31","292.06","290.89","40.36M","0.35%"
"2019年6月26日","290.47","291.75","292.31","290.35","51.58M","-0.10%"
"2019年6月25日","290.76","293.70","293.73","290.64","82.03M","-0.98%"
"2019年6月24日","293.64","294.23","294.58","293.47","47.58M","-0.12%"
"2019年6月21日","294.00","294.13","295.52","293.76","83.31M","-0.63%"
"2019年6月20日","295.86","296.04","296.31","293.13","116.57M","0.96%"
"2019年6月19日","293.06","292.55","293.65","291.47","78.67M","0.23%"
"2019年6月18日","292.40","291.39","293.57","290.99","85.43M","1.05%"
"2019年6月17日","289.37","289.52","290.22","289.18","39.21M","0.04%"
"2019年6月14日","289.26","289.26","289.93","288.41","52.32M","-0.11%"
"2019年6月13日","289.58","289.40","289.98","288.62","48.95M","0.41%"
"2019年6月12日","288.39","288.64","289.26","287.81","47.10M","-0.18%"
"2019年6月11日","288.90","290.99","291.40","288.18","58.64M","-0.02%"
"2019年6月10日","288.97","289.37","290.82","288.87","60.80M","0.46%"
"2019年6月7日","287.65","285.93","288.85","285.74","74.27M","1.00%"
"2019年6月6日","284.80","283.29","285.55","282.57","69.43M","0.65%"
"2019年6月5日","282.96","282.33","282.99","280.32","71.17M","0.87%"
"2019年6月4日","280.53","277.12","280.68","276.62","77.23M","2.17%"
"2019年6月3日","274.57","275.31","276.55","273.09","96.43M","-0.25%"
"2019年5月31日","275.27","276.20","277.12","275.24","86.86M","-1.35%"
"2019年5月30日","279.03","279.11","280.04","277.81","62.52M","0.27%"
"2019年5月29日","278.27","278.91","279.36","276.71","104.97M","-0.67%"
"2019年5月28日","280.15","283.09","284.15","280.13","70.03M","-0.93%"
"2019年5月24日","282.78","283.74","284.20","282.09","55.27M","0.23%"
"2019年5月23日","282.14","283.16","283.21","280.57","98.73M","-1.22%"
"2019年5月22日","285.63","285.45","286.69","285.10","49.48M","-0.31%"
"2019年5月21日","286.51","285.83","286.93","285.55","46.85M","0.90%"
"2019年5月20日","283.95","284.06","285.43","283.12","62.88M","-0.66%"
"2019年5月17日","285.84","285.14","288.60","285.12","100.35M","-0.65%"
"2019年5月16日","287.70","285.84","289.21","285.76","76.75M","0.93%"
"2019年5月15日","285.06","281.59","285.77","281.36","73.96M","0.59%"
"2019年5月14日","283.40","281.99","285.10","281.85","77.00M","0.90%"
"2019年5月13日","280.86","282.42","283.49","279.93","127.29M","-2.51%"
"2019年5月10日","288.10","285.62","288.94","282.30","112.43M","0.50%"
"2019年5月9日","286.66","285.23","287.33","283.30","103.47M","-0.30%"
"2019年5月8日","287.53","287.53","289.43","286.87","91.57M","-0.14%"
"2019年5月7日","287.93","290.15","290.81","285.81","144.73M","-1.67%"
"2019年5月6日","292.82","289.25","293.31","288.90","107.20M","-0.41%"
"2019年5月3日","294.03","292.82","294.34","291.30","56.54M","0.98%"
"2019年5月2日","291.18","291.68","292.70","289.52","65.03M","-0.22%"
"2019年5月1日","291.81","294.72","294.95","291.80","71.67M","-0.75%"
"2019年4月30日","294.02","293.49","294.34","291.92","81.11M","0.05%"
"2019年4月29日","293.87","293.51","294.45","293.41","57.20M","0.16%"
"2019年4月26日","293.41","292.10","293.49","291.24","50.92M","0.47%"
"2019年4月25日","292.05","292.12","292.78","290.73","57.77M","-0.06%"
"2019年4月24日","292.23","292.79","293.16","292.07","50.39M","-0.22%"
"2019年4月23日","292.88","290.68","293.14","290.42","52.25M","0.90%"
"2019年4月22日","290.27","289.17","290.44","289.07","40.16M","0.09%"
"2019年4月18日","290.02","290.10","290.32","288.66","68.71M","0.20%"
"2019年4月17日","289.45","291.40","291.43","288.99","58.27M","-0.24%"
"2019年4月16日","290.16","290.95","291.01","289.50","52.15M","0.07%"
"2019年4月15日","289.97","290.24","290.35","289.07","49.60M","-0.07%"
"2019年4月12日","290.16","290.00","290.47","288.26","69.73M","0.68%"
"2019年4月11日","288.21","288.83","288.84","287.58","55.09M","-0.03%"
"2019年4月10日","288.29","287.77","288.39","287.31","52.60M","0.34%"
"2019年4月9日","287.31","287.72","288.08","286.70","66.14M","-0.51%"
"2019年4月8日","288.79","288.10","288.91","287.37","53.57M","0.08%"
"2019年4月5日","288.57","287.92","288.63","287.60","58.62M","0.48%"
"2019年4月4日","287.18","286.78","287.46","286.01","49.00M","0.27%"
"2019年4月3日","286.42","287.32","287.76","285.75","68.24M","0.16%"
"2019年4月2日","285.97","286.04","286.23","285.09","40.07M","0.05%"
"2019年4月1日","285.83","284.70","286.16","284.40","77.62M","1.19%"
"2019年3月29日","282.48","282.39","282.84","281.14","82.19M","0.63%"
"2019年3月28日","280.71","280.35","281.21","279.07","56.24M","0.38%"
"2019年3月27日","279.65","281.11","281.76","277.93","72.22M","-0.52%"
"2019年3月26日","281.12","280.99","282.18","279.56","68.13M","0.75%"
"2019年3月25日","279.04","278.87","280.19","277.64","85.58M","-0.08%"
"2019年3月22日","279.25","283.22","283.80","279.18","122.66M","-1.92%"
"2019年3月21日","284.73","280.64","285.18","280.59","79.55M","1.13%"
"2019年3月20日","281.55","282.16","283.50","280.32","84.61M","-0.30%"
"2019年3月19日","282.40","283.51","284.36","281.41","90.27M","0.02%"
"2019年3月18日","282.33","281.55","282.66","281.30","62.20M","0.36%"
"2019年3月15日","281.31","280.54","282.21","280.33","81.31M","0.05%"
"2019年3月14日","281.16","281.37","281.84","280.67","67.52M","-0.06%"
"2019年3月13日","281.34","280.48","282.38","280.30","80.64M","0.66%"
"2019年3月12日","279.49","279.06","280.07","278.85","79.67M","0.38%"
"2019年3月11日","278.44","275.26","278.62","275.23","65.10M","1.45%"
"2019年3月8日","274.46","272.94","274.65","272.42","85.80M","-0.20%"
"2019年3月7日","275.01","276.83","276.99","274.07","94.89M","-0.84%"
"2019年3月6日","277.33","279.15","279.16","276.97","75.04M","-0.61%"
"2019年3月5日","279.02","279.54","279.76","278.41","59.11M","-0.14%"
"2019年3月4日","279.40","281.60","281.87","276.84","106.49M","-0.36%"
"2019年3月1日","280.42","280.44","280.88","278.82","78.88M","0.62%"
"2019年2月28日","278.68","278.96","279.45","278.32","69.27M","-0.19%"
"2019年2月27日","279.20","278.52","279.59","277.48","56.92M","-0.04%"
"2019年2月26日","279.32","279.13","280.30","278.90","56.84M","-0.07%"
"2019年2月25日","279.52","280.73","281.31","279.43","69.03M","0.14%"
"2019年2月22日","279.14","278.11","279.36","277.40","78.11M","0.62%"
"2019年2月21日","277.42","277.70","278.10","276.35","64.21M","-0.36%"
"2019年2月20日","278.41","277.81","278.92","277.25","76.61M","0.20%"
"2019年2月19日","277.85","276.48","278.58","276.47","59.12M","0.17%"
"2019年2月15日","277.37","276.36","277.41","276.13","97.09M","1.09%"
"2019年2月14日","274.38","273.78","275.64","272.87","83.23M","-0.22%"
"2019年2月13日","274.99","275.03","275.93","274.56","65.28M","0.32%"
"2019年2月12日","274.10","272.42","274.52","272.34","72.27M","1.29%"
"2019年2月11日","270.62","271.20","271.49","270.03","68.02M","0.06%"
"2019年2月8日","270.47","268.75","270.58","267.83","75.79M","0.12%"
"2019年2月7日","270.14","270.94","271.55","268.29","95.48M","-0.95%"
"2019年2月6日","272.74","272.79","273.34","271.92","58.35M","-0.13%"
"2019年2月5日","273.10","272.44","273.44","271.88","79.55M","0.42%"
"2019年2月4日","271.96","270.11","272.03","269.36","60.74M","0.70%"
"2019年2月1日","270.06","270.15","271.20","269.18","85.78M","0.05%"
"2019年1月31日","269.93","267.51","270.47","267.27","104.01M","0.88%"
"2019年1月30日","267.58","265.10","268.52","264.25","92.47M","1.58%"
"2019年1月29日","263.41","263.92","264.55","262.48","66.14M","-0.13%"
"2019年1月28日","263.76","263.39","263.83","261.79","85.61M","-0.76%"
"2019年1月25日","265.78","265.61","266.70","263.66","96.88M","0.85%"
"2019年1月24日","263.55","263.21","264.20","262.08","59.20M","0.05%"
"2019年1月23日","263.41","264.01","264.79","260.66","86.03M","0.21%"
"2019年1月22日","262.86","264.82","265.06","261.06","115.53M","-1.35%"
"2019年1月18日","266.46","264.98","266.98","263.00","127.90M","1.33%"
"2019年1月17日","262.96","260.01","263.92","259.96","96.12M","0.76%"
"2019年1月16日","260.98","260.83","261.97","260.60","77.64M","0.24%"
"2019年1月15日","260.35","257.82","260.70","257.81","85.21M","1.15%"
"2019年1月14日","257.40","256.86","258.30","256.41","70.91M","-0.61%"
"2019年1月11日","258.98","257.68","259.01","257.03","73.86M","0.04%"
"2019年1月10日","258.88","256.26","259.16","255.50","96.82M","0.35%"
"2019年1月9日","257.97","257.56","258.91","256.19","95.01M","0.47%"
"2019年1月8日","256.77","256.82","257.31","254.00","102.51M","0.94%"
"2019年1月7日","254.38","252.69","255.95","251.69","103.14M","0.79%"
"2019年1月4日","252.39","247.59","253.11","247.17","142.63M","3.35%"
"2019年1月3日","244.21","248.23","248.57","243.67","144.14M","-2.39%"